{1, 5, 12, 17, 18, 19, 20, 21, 23, 24, 25, 27, 38, 46, 49, 50, 51, 55, 63, 65},
{6, 9, 10, 11, 19, 21, 23, 25, 26, 31, 32, 38, 43, 51, 54, 56, 57, 61, 62, 64},
{1, 4, 5, 6, 8, 13, 15, 34, 36, 38, 39, 40, 45, 47, 53, 55, 59, 60, 64, 66},
{2, 3, 4, 18, 25, 28, 32, 34, 35, 41, 43, 46, 49, 51, 54, 59, 64, 65, 69, 70},
{5, 7, 9, 13, 18, 21, 22, 24, 26, 27, 31, 47, 52, 54, 57, 58, 59, 62, 67, 70},
{1, 2, 3, 5, 9, 12, 26, 27, 30, 35, 37, 40, 45, 47, 49, 50, 51, 59, 63, 64},
{1, 2, 4, 12, 13, 17, 20, 23, 25, 26, 30, 32, 44, 46, 51, 52, 54, 63, 64, 70},
{2, 4, 10, 12, 22, 23, 24, 25, 27, 32, 42, 48, 49, 54, 55, 57, 58, 59, 62, 66},
{3, 9, 10, 11, 13, 17, 30, 32, 33, 40, 43, 48, 49, 52, 55, 58, 59, 61, 62, 63},
{4, 6, 9, 13, 15, 16, 27, 29, 31, 33, 34, 35, 45, 46, 53, 55, 56, 59, 63, 68},
{4, 5, 9, 11, 13, 14, 20, 23, 28, 32, 38, 39, 42, 45, 51, 53, 54, 58, 60, 61},
{6, 11, 15, 17, 21, 23, 32, 44, 46, 49, 51, 52, 54, 55, 61, 62, 65, 67, 69, 70},
{1, 3, 7, 13, 14, 15, 19, 31, 32, 34, 35, 40, 41, 48, 53, 60, 61, 62, 65, 67},
{2, 4, 7, 10, 12, 15, 18, 25, 32, 35, 36, 37, 38, 46, 50, 55, 61, 63, 68, 69},
{3, 4, 6, 8, 11, 18, 20, 25, 31, 38, 40, 41, 47, 49, 50, 51, 54, 64, 65, 69},
{8, 11, 14, 16, 17, 18, 22, 29, 31, 34, 36, 38, 42, 44, 46, 51, 58, 65, 66, 67},
{7, 9, 10, 11, 15, 23, 36, 37, 48, 49, 51, 55, 56, 57, 61, 63, 65, 66, 69, 70},
{1, 4, 8, 17, 21, 23, 27, 28, 31, 32, 33, 34, 40, 42, 43, 48, 57, 59, 62, 64},
{9, 14, 17, 18, 20, 21, 24, 25, 27, 33, 34, 38, 42, 43, 45, 54, 58, 62, 66, 70},
